filename,fold_number,auroc,ap,precision,recall,f1_score,accuracy,tn,fp,fn,tp,multi_auroc,multi_ap,multi_precision,multi_recall,multi_f1_score,multi_accuracy,train_patients_neg_abdominal_nec,train_patients_neg_all,train_patients_neg_brain_ivh_stage_3_4,train_patients_neg_cns_los,train_patients_neg_cps_los,train_patients_neg_infection,train_patients_neg_los,train_patients_neg_pneumonia,train_patients_neg_sepsis,train_patients_pos_abdominal_nec,train_patients_pos_any,train_patients_pos_brain_ivh_stage_3_4,train_patients_pos_cns_los,train_patients_pos_cps_los,train_patients_pos_infection,train_patients_pos_los,train_patients_pos_pneumonia,train_patients_pos_sepsis,train_windows_neg_abdominal_nec,train_windows_neg_all,train_windows_neg_brain_ivh_stage_3_4,train_windows_neg_cns_los,train_windows_neg_cps_los,train_windows_neg_infection,train_windows_neg_los,train_windows_neg_pneumonia,train_windows_neg_sepsis,train_windows_pos_abdominal_nec,train_windows_pos_any,train_windows_pos_brain_ivh_stage_3_4,train_windows_pos_cns_los,train_windows_pos_cps_los,train_windows_pos_infection,train_windows_pos_los,train_windows_pos_pneumonia,train_windows_pos_sepsis,val_patients_neg_abdominal_nec,val_patients_neg_all,val_patients_neg_brain_ivh_stage_3_4,val_patients_neg_cns_los,val_patients_neg_cps_los,val_patients_neg_infection,val_patients_neg_los,val_patients_neg_pneumonia,val_patients_neg_sepsis,val_patients_pos_abdominal_nec,val_patients_pos_any,val_patients_pos_brain_ivh_stage_3_4,val_patients_pos_cns_los,val_patients_pos_cps_los,val_patients_pos_infection,val_patients_pos_los,val_patients_pos_pneumonia,val_patients_pos_sepsis,val_windows_neg_abdominal_nec,val_windows_neg_all,val_windows_neg_brain_ivh_stage_3_4,val_windows_neg_cns_los,val_windows_neg_cps_los,val_windows_neg_infection,val_windows_neg_los,val_windows_neg_pneumonia,val_windows_neg_sepsis,val_windows_pos_abdominal_nec,val_windows_pos_any,val_windows_pos_brain_ivh_stage_3_4,val_windows_pos_cns_los,val_windows_pos_cps_los,val_windows_pos_infection,val_windows_pos_los,val_windows_pos_pneumonia,val_windows_pos_sepsis,multi_fn,multi_fp,multi_tn,multi_tp,train_total_patients,train_total_windows,val_total_patients,val_total_windows
1a663321ed93aa9b2cb32a3de3ebb414f66e7ab74221b9f7a4fb18926956e972_1.pklz,1,0.49959,0.00504,0.00000,0.00000,0.00000,0.99492,25659.00000,1.00000,130.00000,0.00000,,,,,,,,245,,,,,,,245.00000,,18,,,,,,,18.00000,,257039,,,,,,,257039.00000,,1548,,,,,,,1548.00000,,29,,,,,,,29.00000,,3,,,,,,,3.00000,,25660,,,,,,,25660.00000,,130,,,,,,,130.00000,,,,,245,258587,29,25790
1a663321ed93aa9b2cb32a3de3ebb414f66e7ab74221b9f7a4fb18926956e972_1.pklz,2,0.49983,0.00366,0.00000,0.00000,0.00000,0.99634,29650.00000,0.00000,109.00000,0.00000,,,,,,,,246,,,,,,,246.00000,,19,,,,,,,19.00000,,253049,,,,,,,253049.00000,,1569,,,,,,,1569.00000,,28,,,,,,,28.00000,,2,,,,,,,2.00000,,29650,,,,,,,29650.00000,,109,,,,,,,109.00000,,,,,246,254618,28,29759
1a663321ed93aa9b2cb32a3de3ebb414f66e7ab74221b9f7a4fb18926956e972_1.pklz,3,0.49998,0.00449,0.00000,0.00000,0.00000,0.99551,27042.00000,0.00000,122.00000,0.00000,,,,,,,,246,,,,,,,246.00000,,19,,,,,,,19.00000,,255657,,,,,,,255657.00000,,1556,,,,,,,1556.00000,,28,,,,,,,28.00000,,2,,,,,,,2.00000,,27042,,,,,,,27042.00000,,122,,,,,,,122.00000,,,,,246,257213,28,27164
1a663321ed93aa9b2cb32a3de3ebb414f66e7ab74221b9f7a4fb18926956e972_1.pklz,4,0.49993,0.00238,0.00000,0.00000,0.00000,0.99762,41933.00000,0.00000,100.00000,0.00000,,,,,,,,247,,,,,,,247.00000,,19,,,,,,,19.00000,,240766,,,,,,,240766.00000,,1578,,,,,,,1578.00000,,27,,,,,,,27.00000,,2,,,,,,,2.00000,,41933,,,,,,,41933.00000,,100,,,,,,,100.00000,,,,,247,242344,27,42033
1a663321ed93aa9b2cb32a3de3ebb414f66e7ab74221b9f7a4fb18926956e972_1.pklz,5,0.49987,0.00564,0.00000,0.00000,0.00000,0.99436,23645.00000,0.00000,134.00000,0.00000,,,,,,,,247,,,,,,,247.00000,,19,,,,,,,19.00000,,259054,,,,,,,259054.00000,,1544,,,,,,,1544.00000,,27,,,,,,,27.00000,,2,,,,,,,2.00000,,23645,,,,,,,23645.00000,,134,,,,,,,134.00000,,,,,247,260598,27,23779
1a663321ed93aa9b2cb32a3de3ebb414f66e7ab74221b9f7a4fb18926956e972_1.pklz,6,0.49991,0.00434,0.00000,0.00000,0.00000,0.99566,38535.00000,0.00000,168.00000,0.00000,,,,,,,,247,,,,,,,247.00000,,19,,,,,,,19.00000,,244164,,,,,,,244164.00000,,1510,,,,,,,1510.00000,,27,,,,,,,27.00000,,2,,,,,,,2.00000,,38535,,,,,,,38535.00000,,168,,,,,,,168.00000,,,,,247,245674,27,38703
1a663321ed93aa9b2cb32a3de3ebb414f66e7ab74221b9f7a4fb18926956e972_1.pklz,7,0.49995,0.00801,0.00000,0.00000,0.00000,0.99199,21685.00000,0.00000,175.00000,0.00000,,,,,,,,247,,,,,,,247.00000,,19,,,,,,,19.00000,,261014,,,,,,,261014.00000,,1503,,,,,,,1503.00000,,27,,,,,,,27.00000,,2,,,,,,,2.00000,,21685,,,,,,,21685.00000,,175,,,,,,,175.00000,,,,,247,262517,27,21860
1a663321ed93aa9b2cb32a3de3ebb414f66e7ab74221b9f7a4fb18926956e972_1.pklz,8,0.49996,0.00737,0.00000,0.00000,0.00000,0.99263,25061.00000,0.00000,186.00000,0.00000,,,,,,,,247,,,,,,,247.00000,,19,,,,,,,19.00000,,257638,,,,,,,257638.00000,,1492,,,,,,,1492.00000,,27,,,,,,,27.00000,,2,,,,,,,2.00000,,25061,,,,,,,25061.00000,,186,,,,,,,186.00000,,,,,247,259130,27,25247
1a663321ed93aa9b2cb32a3de3ebb414f66e7ab74221b9f7a4fb18926956e972_1.pklz,9,0.50000,0.02027,0.00000,0.00000,0.00000,0.97973,20542.00000,0.00000,425.00000,0.00000,,,,,,,,247,,,,,,,247.00000,,19,,,,,,,19.00000,,262157,,,,,,,262157.00000,,1253,,,,,,,1253.00000,,27,,,,,,,27.00000,,2,,,,,,,2.00000,,20542,,,,,,,20542.00000,,425,,,,,,,425.00000,,,,,247,263410,27,20967
1a663321ed93aa9b2cb32a3de3ebb414f66e7ab74221b9f7a4fb18926956e972_1.pklz,10,0.49978,0.00444,0.00000,0.00000,0.00000,0.99553,28945.00000,1.00000,129.00000,0.00000,,,,,,,,247,,,,,,,247.00000,,19,,,,,,,19.00000,,253753,,,,,,,253753.00000,,1549,,,,,,,1549.00000,,27,,,,,,,27.00000,,2,,,,,,,2.00000,,28946,,,,,,,28946.00000,,129,,,,,,,129.00000,,,,,247,255302,27,29075
